"subj1","subj2","weight"
"Luisa Vertova","Antonio Canova","2"
"Luisa Vertova","Domenico Morelli","2"
"Luisa Vertova","Domenico Morelli","2"
"Luisa Vertova","Leonardo da Vinci","2"
"Luisa Vertova","Andrea Mantegna","2"
"Luisa Vertova","Francesco Hayez","2"
"Luisa Vertova","Domenico Morelli","2"
"Luisa Vertova","Domenico Morelli","2"
"Ernst Steinmann","Sandro Botticelli","2"
"Ernst Steinmann","Michelangelo","2"
"Ernst Steinmann","William Shakespeare","2"
"Leo Steinberg","Francesco Borromini","2"
"Leo Steinberg","Titian","2"
"Federico Zeri","Gian Lorenzo Bernini","2"
"Federico Zeri","Caravaggio","2"
"Federico Zeri","Carlo Crivelli","2"
"Federico Zeri","Bartolomeo di Tommaso","2"
"Federico Zeri","Fra Carnevale","2"
"Federico Zeri","Donato de' Bardi","2"
"Federico Zeri","Scipione Pulzone","2"
"Federico Zeri","Carlo Crivelli","2"
"Federico Zeri","Bartolomeo di Tommaso","2"
"Federico Zeri","Fra Carnevale","2"
"Federico Zeri","Donato de' Bardi","2"
"Federico Zeri","Caravaggio","2"
"Federico Zeri","Scipione Pulzone","2"
"Federico Zeri","Giotto di Bondone","2"
"Federico Zeri","Giotto di Bondone","2"
"Federico Zeri","Donatello","2"
"Federico Zeri","Carlo Crivelli","2"
"Federico Zeri","Bartolomeo di Tommaso","2"
"Federico Zeri","Fra Carnevale","2"
"Federico Zeri","Donato de' Bardi","2"
"Federico Zeri","Gian Lorenzo Bernini","2"
"Julius S. Held","Rembrandt","2"
"Julius S. Held","Peter Paul Rubens","2"
"Julius S. Held","Pieter Brueghel the Elder","2"
"Julius S. Held","Pieter Bruegel the Elder","2"
"Julius S. Held","Jan Brueghel the Elder","2"
"John Pope-Hennessy","Sandro Botticelli","2"
"John Pope-Hennessy","Michelangelo","2"
"John Pope-Hennessy","Raphael","2"
"John Pope-Hennessy","Fra Angelico","2"
"John Pope-Hennessy","Sandro Botticelli","2"
"John Pope-Hennessy","Michelangelo","2"
"John Pope-Hennessy","Raphael","2"
"Ellis Waterhouse","Joshua Reynolds","2"
"Ellis Waterhouse","Thomas Gainsborough","2"
"Wolfgang Lotz","Gian Lorenzo Bernini","2"
"Wolfgang Lotz","Giacomo Barozzi da Vignola","2"
"Wolfgang Lotz","Galeazzo Alessi","2"
"Wolfgang Lotz","Andrea Palladio","2"
"Wolfgang Lotz","Giacomo della Porta","2"
"Wolfgang Lotz","Giacomo Barozzi da Vignola","2"
"Wolfgang Lotz","Galeazzo Alessi","2"
"Wolfgang Lotz","Andrea Palladio","2"
"Wolfgang Lotz","Giacomo della Porta","2"
"Wolfgang Lotz","Gian Lorenzo Bernini","2"
"Gustav Ludwig","Giovanni Bellini","2"
"Gustav Ludwig","Vittore Carpaccio","2"
"Julian Kliemann","Federico Zuccari","2"
"Julian Kliemann","David Bailly","2"
"Julian Kliemann","Giorgio Vasari","2"
"Julian Kliemann","Federico Zuccari","2"
"Julian Kliemann","David Bailly","2"
"Julian Kliemann","Giorgio Vasari","2"
"Luigi Salerno","Salvator Rosa","2"
"Luigi Salerno","Guercino","2"
"Luigi Salerno","Salvator Rosa","2"
