art_hist_1,art_hist_2,artist_or_period,"Does any relation 
exist between 
the two historians?","Is the relation recorded 
in at least one 
historian biography 
available on ARTchives?","Did they collaborate / interact 
on the period/artist at hand?","Is historian 2 relevant 
to historian 1's archive?","Is historian 2 mentioned 
as subject of historian 1's 
archive on ARTchives? ","Is historian 1 relevant 
to historian 2's archive?","Is historian 1 mentioned
 as subject of historian 2's 
archive on ARTchives? ","Is the relation recorded 
in both the 
historians' biographies 
available on ARTchives?"
Julian Kliemann,Richard Krautheimer,renaissance,1,0,,0,0,,0,0
Julian Kliemann,John Pope-Hennessy,renaissance,1,0,,0,0,0,0,0
Julian Kliemann,Everett Fahy,15th century,0,0,0,0,0,0,0,0
Julian Kliemann,Fritz Heinemann,15th century,0,0,0,0,0,0,0,0
Julian Kliemann,John Pope-Hennessy,15th century,1,0,,0,0,0,0,0
Julian Kliemann,Everett Fahy,16th century,0,0,0,0,0,0,0,0
Julian Kliemann,Fritz Heinemann,16th century,0,0,0,0,0,0,0,0
Julian Kliemann,Fritz Heinemann,baroque,0,0,0,0,0,0,0,0
Julian Kliemann,Richard Krautheimer,baroque,1,0,,0,0,,0,0
Julian Kliemann,Ellis Waterhouse,baroque,0,0,0,0,0,0,0,0
Julian Kliemann,Fritz Heinemann,17th century,0,0,0,0,0,0,0,0
Julian Kliemann,Fritz Heinemann,mannerism,0,0,0,0,0,0,0,0
Julian Kliemann,Ellis Waterhouse,mannerism,0,0,0,0,0,0,0,0
Julius S. Held,Everett Fahy,16th century,1,0,1,1,0,0,0,0
Julius S. Held,Fritz Heinemann,16th century,1,0,,1,0,,0,0
Julius S. Held,Julian Kliemann,16th century,0,0,0,0,0,0,0,0
Julius S. Held,Luisa Vertova,16th century,0,0,0,0,0,0,0,0
Julius S. Held,Gustav Ludwig,16th century,0,0,0,0,0,0,0,0
Julius S. Held,Federico Zeri,16th century,1,0,,1,0,1,0,0
Julius S. Held,Stefano Tumidei,16th century,0,0,0,0,0,0,0,0
Julius S. Held,Kurt Badt,16th century,0,0,0,0,0,,0,0
Julius S. Held,Fritz Heinemann,17th century,1,0,,1,0,,0,0
Julius S. Held,Julian Kliemann,17th century,0,0,0,0,0,0,0,0
Julius S. Held,Luisa Vertova,17th century,0,0,0,0,0,0,0,0
Julius S. Held,Federico Zeri,17th century,1,0,,1,0,1,0,0
Julius S. Held,Stefano Tumidei,17th century,0,0,0,0,0,0,0,0
Julius S. Held,Luigi Salerno,17th century,0,0,0,0,0,0,0,0
Kornél Fabriczy,Everett Fahy,renaissance,0,0,0,0,0,0,0,0
Kornél Fabriczy,Aby Warburg,renaissance,1,0,1,,0,,0,0
Kornél Fabriczy,Fritz Heinemann,renaissance,0,0,0,0,0,0,0,0
Kornél Fabriczy,Richard Krautheimer,renaissance,0,0,0,0,0,0,0,0
Kornél Fabriczy,John Pope-Hennessy,renaissance,0,0,0,0,0,0,0,0
Kornél Fabriczy,Julian Kliemann,renaissance,0,0,0,0,0,0,0,0
Kornél Fabriczy,Luisa Vertova,renaissance,0,0,0,0,0,0,0,0
Kornél Fabriczy,Federico Zeri,renaissance,0,0,0,0,0,0,0,0
Kornél Fabriczy,Stefano Tumidei,renaissance,0,0,0,0,0,0,0,0
Kornél Fabriczy,Ernst Steinmann,renaissance,1,0,,1,1,,0,0
Kornél Fabriczy,Leo Steinberg,renaissance,0,0,0,0,0,0,0,0
Kornél Fabriczy,Werner Cohn,renaissance,0,0,0,0,0,0,0,0
Kornél Fabriczy,Ulrich Middeldorf,renaissance,0,0,0,0,0,0,0,0
Kornél Fabriczy,John Pope-Hennessy,Michelangelo,0,0,0,0,0,0,0,0
Kornél Fabriczy,Ernst Steinmann,Michelangelo,1,0,,1,1,,0,0
Kurt Badt,Ernst Kitzinger,middle ages,1,0,,,0,0,0,0
Kurt Badt,Otto Lehmann-Brockhaus,middle ages,0,0,0,,0,,0,0
Kurt Badt,Federico Zeri,middle ages,1,0,,,0,1,0,0
Kurt Badt,Federico Zeri,16th century,1,0,1,,0,1,0,0
Kurt Badt,Everett Fahy,16th century,0,0,0,0,0,0,0,0
Kurt Badt,Fritz Heinemann,16th century,0,0,0,0,0,0,0,0
Kurt Badt,Julian Kliemann,16th century,0,0,0,0,0,0,0,0
Kurt Badt,Luisa Vertova,16th century,0,0,0,0,0,0,0,0
Kurt Badt,Gustav Ludwig,16th century,0,0,0,0,0,,0,0
Kurt Badt,Stefano Tumidei,16th century,0,0,0,0,0,0,0,0
Kurt Badt,Federico Zeri,baroque,1,0,,,0,0,0,0
Kurt Badt,Fritz Heinemann,baroque,0,0,0,0,0,,0,0
Kurt Badt,Julian Kliemann,baroque,0,0,0,0,0,0,0,0
Kurt Badt,Stefano Tumidei,baroque,0,0,0,0,0,0,0,0
Kurt Badt,Richard Krautheimer,baroque,0,0,0,,0,,0,0
Kurt Badt,Ellis Waterhouse,baroque,0,0,0,0,0,0,0,0
Kurt Badt,Luigi Salerno,baroque,0,0,0,0,0,0,0,0
Kurt Badt,Federico Zeri,mannerism,1,0,1,,0,1,0,0
Kurt Badt,Fritz Heinemann,mannerism,0,0,0,0,0,0,0,0
Kurt Badt,Julian Kliemann,mannerism,0,0,0,0,0,0,0,0
Kurt Badt,Ellis Waterhouse,mannerism,0,0,0,0,0,0,0,0
Leo Steinberg,Everett Fahy,renaissance,0,0,,0,0,1,0,0
Leo Steinberg,Aby Warburg,renaissance,0,0,0,0,0,0,0,0
Leo Steinberg,Fritz Heinemann,renaissance,0,0,0,0,0,0,0,0
Leo Steinberg,Richard Krautheimer,renaissance,1,1,1,1,0,,0,0
Leo Steinberg,John Pope-Hennessy,renaissance,1,0,1,0,0,0,0,0
Leo Steinberg,Julian Kliemann,renaissance,0,0,,0,0,0,0,0
Leo Steinberg,Luisa Vertova,renaissance,1,0,1,0,0,0,0,0
Leo Steinberg,Federico Zeri,renaissance,0,0,,0,0,0,0,0
Leo Steinberg,Stefano Tumidei,renaissance,0,0,0,0,0,0,0,0
Leo Steinberg,Ernst Steinmann,renaissance,1,0,0,0,0,,0,0
Leo Steinberg,Fritz Heinemann,Titian,0,0,0,0,0,0,0,0
Leo Steinberg,Luisa Vertova,Titian,1,0,0,0,0,0,0,0
Leo Steinberg,Gustav Ludwig,Titian,0,0,0,0,0,0,0,0
Leo Steinberg,Richard Krautheimer,Francesco Borromini,1,1,1,1,0,,0,0
